ROI_ID,x,y,z
ROI000,37.2913,40.4346,4.87409
ROI001,43.9889,18.8063,22.7419
ROI002,-8.27964,26.9567,25.3695
ROI003,30.9714,-24.2751,2.44816
ROI004,1.63445,-75.7264,12.1626
ROI005,-6.43306,2.73335,44.9157
ROI006,-44.4493,15.5055,40.8352
ROI007,34.3957,-14.4569,49.1624
ROI008,49.1155,-11.091,1.23437
ROI009,-27.4174,-84.7964,5.19501
ROI010,-3.93495,-41.7463,47.1131
ROI011,-41.978,20.8974,26.0213
ROI012,43.7254,21.2682,0.00257492
ROI013,-40.201,-36.9868,33.3372
ROI014,-9.32361,-14.5303,12.8899
ROI015,10.9862,27.4745,23.0856
ROI016,25.9282,-53.849,6.53415
ROI017,8.67494,4.48392,62.4976
ROI018,-9.24439,-72.1025,10.7653
ROI019,31.9528,-74.0551,15.7167
ROI020,49.9966,-12.9504,16.928
ROI021,-39.7407,-65.811,18.9125
ROI022,-33.0441,35.4002,-2.81959
ROI023,-23.7047,2.62115,59.0625
ROI024,-0.711983,-16.4996,34.7715
ROI025,-22.2359,21.8164,55.6942
ROI026,48.8912,2.84318,25.5077
ROI027,36.6814,-42.5275,30.7592
ROI028,-34.7531,-25.8923,15.4906
ROI029,12.2653,-5.74225,5.46796
ROI030,-37.849,-50.0024,38.5774
ROI031,-50.6657,8.34221,0.193444
ROI032,-4.673,-62.513,26.1634
ROI033,-6.75529,52.192,7.1988
ROI034,7.20505,-17.5959,14.0356
ROI035,-0.493454,3.35864,32.054
ROI036,10.0273,-47.2233,2.68677
ROI037,-14.7517,-1.8438,4.26278
ROI038,23.6391,-26.369,52.922
ROI039,9.24348,45.8765,25.4359
ROI040,-2.95914,-46.9316,32.9785
ROI041,45.516,10.3226,38.9689
ROI042,0.83213,14.6535,17.8634
ROI043,-32.7646,-47.2266,9.86951
ROI044,-36.0543,-9.13796,51.2704
ROI045,30.6247,-53.1241,39.744
ROI046,-26.4895,-4.31379,-6.35066
ROI047,38.5426,8.002,-9.76682
ROI048,-25.0114,-27.4992,53.6502
ROI049,-9.09733,11.9895,62.2924
ROI050,-51.5304,-13.0055,17.0715
ROI051,22.1576,-36.6451,7.87715
ROI052,-0.566093,-15.7404,-0.901258
ROI053,-48.2783,10.7793,15.6518
ROI054,13.2479,29.5581,9.88243
ROI055,34.8902,-35.3027,44.0946
ROI056,34.3525,-67.2205,-2.26682
ROI057,-29.2004,-80.3829,19.1928
ROI058,8.03172,-1.13417,43.204
ROI059,-1.29933,-31.3165,40.3013
ROI060,-8.08816,39.8344,37.7084
ROI061,38.5193,26.2613,37.2534
ROI062,-40.7526,-38.044,-1.03639
ROI063,9.11086,-39.373,16.5082
ROI064,-35.9251,37.0761,19.2715
ROI065,47.9391,-28.9533,25.4008
ROI066,-3.43523,33.9153,9.82817
ROI067,14.7335,-16.1349,63.0897
ROI068,-4.57197,-79.2033,28.1373
ROI069,-32.314,11.002,47.0022
ROI070,-12.4913,-31.4197,19.921
ROI071,20.5984,-42.8225,51.8282
ROI072,25.8378,0.807899,56.5593
ROI073,32.1976,38.6687,25.3313
ROI074,-50.5026,-26.3892,28.1129
ROI075,50.8229,5.44445,-3.11823
ROI076,-38.171,16.2298,-7.17149
ROI077,-25.4095,47.7596,13.372
ROI078,3.31702,-90.1085,18.2012
